Model,Temporal Val AUC,Temporal AUC,Accuracy,AUC Drop,Worst Credit FPR_disp,Worst Income FPR_disp,Worst Credit TPR_disp,Worst Income TPR_disp,Worst Credit PPR_disp,Worst Income PPR_disp,_fair_norm,composite_score
LR_C0.001,0.6858,0.6827,0.9138,0.0064,0.0426,0.0904,0.0677,0.0948,0.0479,0.0943,0.3809437496212988,0.15568231343509117
DTree_d3,0.6686,0.6723,0.9158,0.0138,0.0238,0.0141,0.0411,0.0301,0.028,0.015,0.1630677518150692,0.1399339938397477
RF_n100_d3,0.6763,0.6778,0.9158,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06044931886349614
XGB_lr0.01,0.6781,0.6758,0.9158,0.0264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1097121184825598
